देश,क्लिक की संख्या,छापें,क्लिक मिलने की दर (सीटीआर),स्थिति
भारत,113,409,27.63%,5.66
पाकिस्तान,3,17,17.65%,5.35
म्यानमार (बर्मा),1,3,33.33%,2
घाना,1,1,100%,1
बांग्लादेश,0,5,0%,6.2
केन्या,0,4,0%,2
अमेरिका,0,4,0%,6
वियतनाम,0,2,0%,4.5
सर्बिया,0,1,0%,3
डोमिनिकन गणराज्य,0,1,0%,8
इथियोपिया,0,1,0%,9
फ़्रांस,0,1,0%,10
फिलिपींस,0,1,0%,12
श्रीलंका,0,1,0%,121
