तारीख,क्लिक की संख्या,छापें,क्लिक मिलने की दर (सीटीआर),स्थिति
2026-04-15,0,0,,
2026-04-16,2,5,40%,3.4
2026-04-17,6,29,20.69%,4.2
2026-04-18,10,51,19.61%,7.3
2026-04-19,25,88,28.41%,7.5
2026-04-20,43,119,36.13%,3.9
2026-04-21,23,91,25.27%,4.4
2026-04-22,9,68,13.24%,9
