डिवाइस,क्लिक की संख्या,छापें,क्लिक मिलने की दर (सीटीआर),स्थिति
मोबाइल,118,431,27.38%,5.66
डेस्कटॉप,0,17,0%,11.76
टेबलेट,0,3,0%,2.67
